type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,0,10.096761859703172,9.217157579398734,9.216539697153264,1904.3490640239877,208.2010343606093
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,1,10.115561695068585,9.240026012078102,9.24201688282519,1908.3687125775357,214.80862101490285
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,2,10.116250048713503,9.235565924719621,9.237686510340188,1909.857686978179,210.69156566460765
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,3,10.107477786586756,9.23030850772081,9.229667726079569,1906.5080005818106,214.5992580348944
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,4,10.100881155198707,9.224649298159484,9.225882776661688,1906.0270743126164,210.68962365591398
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,5,10.09801343665411,9.221179995623181,9.218868995740001,1907.882977650163,207.9569776943498
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,6,10.090061856624892,9.21470002172206,9.214528911443427,1901.7088784206146,209.6202247247562
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,7,10.118003254192416,9.24022290126278,9.24124053541348,1911.594826884707,214.7977351784634
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,8,10.102606016892551,9.224874042461002,9.227215567051694,1906.7339800665675,209.18882305229457
variety,-1.0616022882675031,1.9926783254508513,16984.137931034482,9,10.115874675077638,9.237855885349326,9.236952581386706,1909.1668351268518,216.71662552125036
