genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
legal,usc40.txt,50,50,0.85,0,4.931663380285988,4.931663380285988,4.931663380285988,35.0,32.96875000000001
legal,usc40.txt,50,100,0.8,0,4.931663380285988,,,,39.67499999999998
legal,usc40.txt,50,500,0.75,0,4.931663380285988,,,,44.083333333333336
legal,usc40.txt,50,1000,0.7,0,4.931663380285988,,,,48.0
legal,usc40.txt,50,2000,0.65,0,4.931663380285988,,,,58.33333333333332
legal,usc40.txt,50,5000,0.6,0,4.931663380285988,,,,66.66666666666666
legal,usc40.txt,50,50,0.85,1,4.958562939644916,4.958562939644916,4.958562939644916,36.0,24.949999999999996
legal,usc40.txt,50,100,0.8,1,4.958562939644916,,,,40.533333333333324
legal,usc40.txt,50,500,0.75,1,4.958562939644916,,,,57.33333333333331
legal,usc40.txt,50,1000,0.7,1,4.958562939644916,,,,53.57142857142858
legal,usc40.txt,50,2000,0.65,1,4.958562939644916,,,,62.499999999999986
legal,usc40.txt,50,5000,0.6,1,4.958562939644916,,,,71.42857142857142
legal,usc40.txt,50,50,0.85,2,5.268758439731455,5.268758439731455,5.268758439731455,41.0,35.4375
legal,usc40.txt,50,100,0.8,2,5.268758439731455,,,,55.55555555555553
legal,usc40.txt,50,500,0.75,2,5.268758439731455,,,,69.44444444444443
legal,usc40.txt,50,1000,0.7,2,5.268758439731455,,,,83.33333333333331
legal,usc40.txt,50,2000,0.65,2,5.268758439731455,,,,97.22222222222219
legal,usc40.txt,50,5000,0.6,2,5.268758439731455,,,,111.11111111111109
legal,usc40.txt,50,50,0.85,3,5.118562939644916,5.118562939644916,5.118562939644916,38.0,35.66875
legal,usc40.txt,50,100,0.8,3,5.118562939644916,,,,40.1
legal,usc40.txt,50,500,0.75,3,5.118562939644916,,,,47.54166666666667
legal,usc40.txt,50,1000,0.7,3,5.118562939644916,,,,62.500000000000014
legal,usc40.txt,50,2000,0.65,3,5.118562939644916,,,,72.91666666666667
legal,usc40.txt,50,5000,0.6,3,5.118562939644916,,,,83.33333333333334
legal,usc40.txt,50,50,0.85,4,4.853660689688185,4.853660689688185,4.853660689688185,34.0,18.958333333333336
legal,usc40.txt,50,100,0.8,4,4.853660689688185,,,,22.82
legal,usc40.txt,50,500,0.75,4,4.853660689688185,,,,29.700000000000006
legal,usc40.txt,50,1000,0.7,4,4.853660689688185,,,,36.645833333333336
legal,usc40.txt,50,2000,0.65,4,4.853660689688185,,,,42.82916666666666
legal,usc40.txt,50,5000,0.6,4,4.853660689688185,,,,62.500000000000014
legal,usc40.txt,50,50,0.85,5,4.758562939644916,4.758562939644916,4.758562939644916,32.0,13.8
legal,usc40.txt,50,100,0.8,5,4.758562939644916,,,,20.912
legal,usc40.txt,50,500,0.75,5,4.758562939644916,,,,32.0
legal,usc40.txt,50,1000,0.7,5,4.758562939644916,,,,35.69166666666667
legal,usc40.txt,50,2000,0.65,5,4.758562939644916,,,,37.46666666666667
legal,usc40.txt,50,5000,0.6,5,4.758562939644916,,,,55.555555555555564
legal,usc40.txt,50,50,0.85,6,5.213660689688186,5.213660689688186,5.213660689688186,40.0,61.866666666666696
legal,usc40.txt,50,100,0.8,6,5.213660689688186,,,,69.40000000000002
legal,usc40.txt,50,500,0.75,6,5.213660689688186,,,,73.9166666666667
legal,usc40.txt,50,1000,0.7,6,5.213660689688186,,,,75.00000000000003
legal,usc40.txt,50,2000,0.65,6,5.213660689688186,,,,87.50000000000003
legal,usc40.txt,50,5000,0.6,6,5.213660689688186,,,,100.00000000000003
legal,usc40.txt,50,50,0.85,7,4.724372820753983,4.724372820753983,4.724372820753983,32.0,16.191666666666666
legal,usc40.txt,50,100,0.8,7,4.724372820753983,,,,21.5
legal,usc40.txt,50,500,0.75,7,4.724372820753983,,,,22.75
legal,usc40.txt,50,1000,0.7,7,4.724372820753983,,,,33.575
legal,usc40.txt,50,2000,0.65,7,4.724372820753983,,,,43.5
legal,usc40.txt,50,5000,0.6,7,4.724372820753983,,,,55.555555555555564
legal,usc40.txt,50,50,0.85,8,4.604372820753983,4.604372820753983,4.604372820753983,33.0,17.562499999999996
legal,usc40.txt,50,100,0.8,8,4.604372820753983,,,,24.515476190476186
legal,usc40.txt,50,500,0.75,8,4.604372820753983,,,,29.166666666666664
legal,usc40.txt,50,1000,0.7,8,4.604372820753983,,,,41.449999999999996
legal,usc40.txt,50,2000,0.65,8,4.604372820753983,,,,52.02352941176471
legal,usc40.txt,50,5000,0.6,8,4.604372820753983,,,,58.82352941176472
legal,usc40.txt,50,50,0.85,9,4.007585439212223,4.007585439212223,4.007585439212223,21.0,12.125
legal,usc40.txt,50,100,0.8,9,4.007585439212223,,,,14.257142857142856
legal,usc40.txt,50,500,0.75,9,4.007585439212223,,,,17.222222222222225
legal,usc40.txt,50,1000,0.7,9,4.007585439212223,,,,22.26666666666667
legal,usc40.txt,50,2000,0.65,9,4.007585439212223,,,,26.879999999999995
legal,usc40.txt,50,5000,0.6,9,4.007585439212223,,,,23.758333333333333
legal,usc40.txt,79,50,0.85,0,5.251433559445871,4.865945542114504,4.963866915472439,34.55226873767024,22.239285714285717
legal,usc40.txt,79,100,0.8,0,5.251433559445871,,,,29.749999999999996
legal,usc40.txt,79,500,0.75,0,5.251433559445871,,,,38.75
legal,usc40.txt,79,1000,0.7,0,5.251433559445871,,,,46.03875
legal,usc40.txt,79,2000,0.65,0,5.251433559445871,,,,59.86666666666665
