slope,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
-1.53,50,0.84,0,4.1226530476787975,3.1336039989326023,3.1321510928374128,17.651893066362735,10.064370594159113
-1.53,100,0.78,0,4.1226530476787975,3.3941343502256176,3.392131219306566,27.92898957205063,10.242131147540983
-1.53,500,0.72,0,4.1226530476787975,3.8130530035222017,3.8026925254210435,80.30987760806468,10.457635983263598
-1.53,1000,0.66,0,4.1226530476787975,3.934026562182582,3.927124711168437,126.50267985905634,11.282791572610986
-1.53,2000,0.6,0,4.1226530476787975,4.026875313651228,4.014017411513976,199.12837803027412,12.928072445019405
-1.53,50,0.84,1,4.1152104206245035,3.134366742584973,3.1214416997587704,17.497709343724715,10.03045515394913
-1.53,100,0.78,1,4.1152104206245035,3.39228305001806,3.378380571434411,27.685217953598187,10.256742564102565
-1.53,500,0.72,1,4.1152104206245035,3.809139048796003,3.7938041653384396,80.50705607036954,10.445141065830722
-1.53,1000,0.66,1,4.1152104206245035,3.9304049548028455,3.922199324855479,126.67642671115945,11.205424412094064
-1.53,2000,0.6,1,4.1152104206245035,4.024407611736959,4.0209875112990865,197.25393121515262,12.762012738853501
-1.53,50,0.84,2,4.0566182936122885,3.0983671630794754,3.0969867501037758,17.343911692908,10.029692101740293
-1.53,100,0.78,2,4.0566182936122885,3.364413326613236,3.351684526005338,27.39152148564055,10.209795709908068
-1.53,500,0.72,2,4.0566182936122885,3.7660141169228516,3.7603363834733896,78.06389692178351,10.391746361746362
-1.53,1000,0.66,2,4.0566182936122885,3.8825629241373583,3.866981651239922,121.23006963859062,11.086341463414636
-1.53,2000,0.6,2,4.0566182936122885,3.970462437734597,3.9576224637922275,186.99701869950627,12.55056461731493
-1.53,50,0.84,3,4.175683758349665,3.164605884177874,3.176705037661677,18.095400010611687,10.100848484848486
-1.53,100,0.78,3,4.175683758349665,3.438276035870821,3.443698965984398,28.760073370167056,10.317072164948453
-1.53,500,0.72,3,4.175683758349665,3.866573335940843,3.8554580249125743,81.74054148523248,10.588414376321355
-1.53,1000,0.66,3,4.175683758349665,3.9890406790842126,3.9686934938824896,127.77653474564148,11.506888888888888
-1.53,2000,0.6,3,4.175683758349665,4.084766750631364,4.05625191643158,198.66248021897238,13.1467117201677
-1.53,50,0.84,4,4.161248903270145,3.1745844648489867,3.1792877991368744,17.92749745197915,10.066465256797583
-1.53,100,0.78,4,4.161248903270145,3.447071165596252,3.4427323310782607,28.368995217830076,10.314736842105262
-1.53,500,0.72,4,4.161248903270145,3.8603960606053476,3.860069243763775,80.45860524486443,10.577382716049382
-1.53,1000,0.66,4,4.161248903270145,3.981667204961966,3.971958840598214,125.07076229575503,11.477253731343284
-1.53,2000,0.6,4,4.161248903270145,4.074152968687995,4.061158544258965,192.98312636176084,13.261103752759382
-1.53,50,0.84,5,4.0354208240762315,3.0775975118393872,3.0800470677979686,17.25122045705052,10.051549295774647
-1.53,100,0.78,5,4.0354208240762315,3.330214127111284,3.331461062600978,27.24255787098279,10.21632277834525
-1.53,500,0.72,5,4.0354208240762315,3.738887109878374,3.738363589357421,77.97468114580607,10.386625129802702
-1.53,1000,0.66,5,4.0354208240762315,3.8524905339280613,3.858396570830007,121.97711705553488,11.208804185351271
-1.53,2000,0.6,5,4.0354208240762315,3.945003417645292,3.943277478310992,190.17622355276967,12.617676767676768
-1.53,50,0.84,6,4.115929836497253,3.1308044720196477,3.129621107102771,17.692194491523793,10.046150753768844
-1.53,100,0.78,6,4.115929836497253,3.394938471263163,3.4006654547533532,28.067233667082117,10.280415637860083
-1.53,500,0.72,6,4.115929836497253,3.8085239797930397,3.836063326707119,80.73224120667166,10.584762711864407
-1.53,1000,0.66,6,4.115929836497253,3.932004485344348,3.9542617421100834,126.22857914540067,11.440858123569793
-1.53,2000,0.6,6,4.115929836497253,4.026887713554457,4.058987392761675,196.06089428720526,13.033898305084746
-1.53,50,0.84,7,4.089370209404189,3.106483947667375,3.105171298956074,17.55349493586445,10.055412474849094
-1.53,100,0.78,7,4.089370209404189,3.367327355693562,3.3685759989801745,27.80065303363021,10.252266666666666
-1.53,500,0.72,7,4.089370209404189,3.7811059389907045,3.7859639478399147,80.3722381995562,10.590169491525424
-1.53,1000,0.66,7,4.089370209404189,3.9018179245392974,3.906628714460128,126.56851773535476,11.365352272727273
-1.53,2000,0.6,7,4.089370209404189,3.996392014851,3.993958118948676,198.08728401646437,12.838767650834402
-1.53,50,0.84,8,4.051307791415546,3.1214518465006815,3.128738255412815,17.413161065748266,10.063282980866063
-1.53,100,0.78,8,4.051307791415546,3.3792319721897277,3.383663680622388,27.28040328720449,10.275940390544706
-1.53,500,0.72,8,4.051307791415546,3.7766638260319962,3.773049280086177,75.88303731047736,10.535651563048823
-1.53,1000,0.66,8,4.051307791415546,3.8863314771355912,3.8819114001592565,116.8207356649144,11.326436391090976
-1.53,2000,0.6,8,4.051307791415546,3.969623970312278,3.95853664507764,178.15657666518604,12.848071979434446
-1.53,50,0.84,9,4.005833902598477,3.0798976309000343,3.078821721586829,17.070447991581243,10.032423025435076
-1.53,100,0.78,9,4.005833902598477,3.3326554283714818,3.3283054461031885,26.749972441483365,10.231299897645854
-1.53,500,0.72,9,4.005833902598477,3.7289317721154696,3.725976943916337,75.07593135189066,10.511041009463723
-1.53,1000,0.66,9,4.005833902598477,3.8354647290532897,3.836153915461873,116.35316607737731,11.218726150392817
-1.53,2000,0.6,9,4.005833902598477,3.92406014837825,3.9010912306577117,179.11220506587514,12.657637130801687
