slope,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
-1.6,50,0.84,0,3.726350818674822,2.8876590992416475,2.8979332304819696,15.878508429881668,10.011436205744824
-1.6,100,0.78,0,3.726350818674822,3.0924835509457256,3.1239877429424205,24.83209497072191,10.159552845528456
-1.6,500,0.72,0,3.726350818674822,3.496012741695536,3.4747636772843875,68.2180716876909,10.253305982905983
-1.6,1000,0.66,0,3.726350818674822,3.5796129269603805,3.578216507948023,104.1395946124123,10.778728448275862
-1.6,2000,0.6,0,3.726350818674822,3.6551695437850116,3.6686435790911807,157.39016487709125,11.85473933649289
-1.6,50,0.84,1,3.6770702915995077,2.9493457272955004,2.8600348212216415,15.402495162540633,9.99352
-1.6,100,0.78,1,3.6770702915995077,3.117051732137521,3.080080460300406,23.871132703689856,10.095343434343434
-1.6,500,0.72,1,3.6770702915995077,3.3847674901054594,3.422522640510789,66.013447776666,10.19915306122449
-1.6,1000,0.66,1,3.6770702915995077,3.5880020627464844,3.5192459863916357,102.47539589831537,10.644379126730563
-1.6,2000,0.6,1,3.6770702915995077,3.6228766034780433,3.600837642350045,158.4544753184877,11.493218390804598
-1.6,50,0.84,2,3.6737456154239236,2.8038905639574954,2.8672579274500336,15.557144014769984,10.013907815631264
-1.6,100,0.78,2,3.6737456154239236,3.101535806016808,3.088506429640225,24.1063468672882,10.133012170385395
-1.6,500,0.72,2,3.6737456154239236,3.418145100484176,3.404597732213812,65.40412361410606,10.264106776180698
-1.6,1000,0.66,2,3.6737456154239236,3.5221501086250355,3.4978874735425105,100.52300223016714,10.759956942949408
-1.6,2000,0.6,2,3.6737456154239236,3.5934544624728155,3.558840874886123,154.83338863314637,11.790094339622641
-1.6,50,0.84,3,3.71866923942121,2.771195990105441,2.8948101939445774,15.691246646963345,10.007414829659318
-1.6,100,0.78,3,3.71866923942121,3.090921829244121,3.1326444581325266,24.488673829678362,10.135385395537526
-1.6,500,0.72,3,3.71866923942121,3.548045881499509,3.48065896401187,68.43878695091934,10.241352459016396
-1.6,1000,0.66,3,3.71866923942121,3.526736566530044,3.5718715844440387,105.24822673253284,10.807810810810814
-1.6,2000,0.6,3,3.71866923942121,3.6517944464787155,3.6449609305430757,159.33649928101462,11.901468253968254
-1.6,50,0.84,4,3.6925522183677106,2.915412750423619,2.8694787376637656,15.63701625355686,10.033694779116466
