genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,JamesJoyce_Ulysses.txt,50,10,0.84,0,5.133660689688186,3.212769832686966,3.121282576578851,9.4480677377334,30.68999999999999
literature,JamesJoyce_Ulysses.txt,50,50,0.78,0,5.133660689688186,5.133660689688186,5.133660689688186,39.0,39.5
literature,JamesJoyce_Ulysses.txt,50,100,0.72,0,5.133660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,200,0.66,0,5.133660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,500,0.6,0,5.133660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,10,0.84,1,5.173660689688186,3.167576357045548,3.1974901680369903,9.411512394041807,39.613333333333344
literature,JamesJoyce_Ulysses.txt,50,50,0.78,1,5.173660689688186,5.173660689688186,5.173660689688186,41.0,
literature,JamesJoyce_Ulysses.txt,50,100,0.72,1,5.173660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,200,0.66,1,5.173660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,500,0.6,1,5.173660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,10,0.84,2,5.468758439731455,3.2731476070824868,3.219393704601249,9.82244897959186,
literature,JamesJoyce_Ulysses.txt,50,50,0.78,2,5.468758439731455,5.468758439731455,5.468758439731455,46.0,
literature,JamesJoyce_Ulysses.txt,50,100,0.72,2,5.468758439731455,,,,
literature,JamesJoyce_Ulysses.txt,50,200,0.66,2,5.468758439731455,,,,
literature,JamesJoyce_Ulysses.txt,50,500,0.6,2,5.468758439731455,,,,
literature,JamesJoyce_Ulysses.txt,50,10,0.84,3,5.158562939644916,3.201172546096323,3.24387931439956,9.454190186712982,44.51999999999998
literature,JamesJoyce_Ulysses.txt,50,50,0.78,3,5.158562939644916,5.158562939644916,5.158562939644916,40.0,
literature,JamesJoyce_Ulysses.txt,50,100,0.72,3,5.158562939644916,,,,
literature,JamesJoyce_Ulysses.txt,50,200,0.66,3,5.158562939644916,,,,
literature,JamesJoyce_Ulysses.txt,50,500,0.6,3,5.158562939644916,,,,
literature,JamesJoyce_Ulysses.txt,50,10,0.84,4,5.173660689688186,3.207891783906478,3.2243671192776087,9.41151239404181,34.18666666666667
literature,JamesJoyce_Ulysses.txt,50,50,0.78,4,5.173660689688186,5.173660689688186,5.173660689688186,41.0,
literature,JamesJoyce_Ulysses.txt,50,100,0.72,4,5.173660689688186,,,,
literature,JamesJoyce_Ulysses.txt,50,200,0.66,4,5.173660689688186,,,,
