group,length,variety,sample_entropy,m_subsample_entropy_rdm,sd_subsample_entropy_rdm,m_subsample_entropy_mav,sd_subsample_entropy_mav,exp_variety,MTLD,zipf_intercept,zipf_slope
legal,110169.4,4663.6,8.504887461318718,8.103788605936737,0.0018925852462536902,7.705935358700977,0.03479337091957357,1139.3461742370614,46.35985370389368,11.778290509037392,-1.410453359381632
literature,105600.0,8461.4,9.214657296342706,8.64300517916033,0.00179044506958372,8.490666420391396,0.013721009113746092,1391.236205978957,95.15249221838644,10.551217704849481,-1.2283740458959669
poetry,78020.7,8175.1,9.7902532339835,9.113673077658706,0.00143515344817182,8.997369737230066,0.01944259272316483,1726.7890850002896,131.87403357086458,9.575493879229686,-1.097140501629087
