,name,group,length,variety,sample_entropy,m_subsample_entropy_rdm,sd_subsample_entropy_rdm,m_subsample_entropy_mav,sd_subsample_entropy_mav,exp_variety,MTLD,zipf_intercept,zipf_slope
0,usc54.txt,legal,76044,4315,8.630773043345886,8.233183338574014,0.0013952241124144393,7.881008883859389,0.017968926121213258,1194.676788501012,47.79673683108179,11.103618890076799,-1.3424179017925908
1,usc37.txt,legal,86592,3226,8.083349521117869,7.793290869446828,0.000828214375090397,7.426514560377898,0.05882824152181598,908.9482258231257,46.579230976068835,11.847312467854003,-1.4850062678383156
2,usc23.txt,legal,207053,6152,8.810316982226372,8.343456443039923,0.002446171661077301,7.925209845389738,0.025812142191995235,1224.8205035093229,53.5016634366925,13.227447195937378,-1.5141721578368843
3,usc44.txt,legal,105078,4761,8.598869139631041,8.172295669223386,0.0006982510951729637,7.7028446591646915,0.0331134571261984,1194.5299251937001,45.873826675398384,11.76650899978181,-1.3973883950177424
4,usc35.txt,legal,58103,3165,8.311919965785446,7.986293493109555,0.0025966067359775025,7.610715284463329,0.03806927984721398,1071.0923687215827,45.43329163408913,10.734439820819121,-1.3371587664567373
5,usc36.txt,legal,135879,5855,8.43958606788658,8.012644819856632,0.0010487389099580469,7.676209178947974,0.030666112925118227,1146.1294403543795,40.08332989234626,12.142730838840977,-1.4323955828773305
6,usc11.txt,legal,128225,4136,8.191369114022052,7.843957085533427,0.002134636642317389,7.486203948980717,0.03666346426295064,1026.5620219997281,42.823211814252055,12.252447994897484,-1.4699256052555765
7,usc52.txt,legal,79873,4001,8.524531264009635,8.139984254425025,0.0023790860906416356,7.695027736507789,0.027158501638318455,1123.5770260441416,48.111690239743204,11.327961393097391,-1.378656914413738
8,usc40.txt,legal,133647,6316,8.802299932954096,8.304405139973365,0.0022385199035142023,7.851902045657283,0.02501320226967607,1293.8638181248036,45.7683806045388,11.968544711397229,-1.3841567093270803
9,usc14.txt,legal,91200,4709,8.655859582208198,8.208374946185215,0.00316040293637343,7.803717443660952,0.05464038129123594,1209.2616240988184,47.62717493472584,11.411892777671733,-1.3632552930003234
10,AlfredTennyson_IdyllsOfTheKing.txt,poetry,85636,6864,9.371185864807618,8.80594202429311,0.0002760821603970953,8.650687043008805,0.012999721991207025,1468.9560291169344,98.78542906574395,10.644337050247172,-1.2339502812308119
11,WalterScott_Marmion.txt,poetry,39755,6142,9.904267301822447,9.264280700842644,0.001219147281574351,9.200935770677297,0.0035415231850208784,1834.301043632705,166.71065113963797,8.710346308988537,-1.0264602762414607
12,JohnMilton_ParadiseLost.txt,poetry,80583,8963,9.964554459814796,9.233351670086185,0.0014246157188892994,9.123760883696082,0.009032618600699038,1779.1047544698506,150.80637456914351,9.90961909878861,-1.1163473974514664
13,GeoffreyChaucer_TheCanterburyTales.txt,poetry,194285,13423,9.537204143762596,8.795579811141103,0.0014837577275699232,8.518547031364413,0.0152832913287142,1549.5415834544224,83.4844140654667,11.256526668880376,-1.2185176469951697
14,EdmundSpenser_TheFaerieQueeneBook1.txt,poetry,45425,6651,9.887938045143002,9.237596617387982,0.0017342034541769635,9.176378860498682,0.004496842479241536,1801.3999705701488,159.47652355821805,8.872301315070183,-1.0380185101707495
15,LesslieHall_Beowulf.txt,poetry,36657,5486,9.641953336483779,9.067981084966373,0.001059957806845091,9.00351972336225,0.0052682517356004155,1701.6317461451795,132.87869565217392,8.703944622498614,-1.0436705303948017
16,GeorgeByron_ChildeHaroldsPilgrimage.txt,poetry,38658,6426,9.909934017624199,9.252059257050977,0.00380531694553099,9.200636965147824,0.02464001695058471,1846.177600939788,175.03220512820513,8.367660871132964,-0.9846522948364266
17,OscarWilde_Poems.txt,poetry,37907,5608,9.68431977479684,9.085207564598313,0.0016186976145604604,8.999875208028026,0.009641190569652736,1731.9133620480654,128.40405405405406,8.736889559681465,-1.0418036864989624
18,ElizabethBrowning_AuroraLeigh.txt,poetry,89658,8748,9.635041249519919,8.954140912601178,0.0005205674393948811,8.889902342776045,0.01705596187609615,1574.0070135207502,125.1758661087866,10.118326296087897,-1.1509724418645204
