type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,0,10.026405645885996,9.183896313693047,9.182591699963922,1865.953012663744,204.34229923539792
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,1,10.012144548136511,9.174787324074687,9.176359296747384,1859.6128003011304,203.8637008018608
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,2,10.03241203432138,9.187249852811249,9.186225410207436,1872.7907168802528,203.62634322513
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,3,10.032484459096665,9.186857377272382,9.183299666132973,1871.754294748617,203.6095763301221
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,4,10.032024702938552,9.18844822346719,9.186590157578165,1866.717778841396,206.7363138231632
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,5,10.03271598178242,9.186676737426716,9.187311426272696,1868.557752461369,205.4247323549965
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,6,10.033623125607877,9.19118175972941,9.19285353173972,1871.1779173677776,207.05231931720303
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,7,10.014373150495446,9.173663549732211,9.172106331710394,1859.3037635589264,203.4273374870197
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,8,10.016695360889564,9.174007638786057,9.176285695016412,1865.421847587924,200.53215733294343
variety,-1.0616022882675031,1.9926783254508516,15141.58620689655,9,10.01293576967856,9.17775040309444,9.180737931496406,1858.4445976833892,202.78262939958597
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,0,10.14480109276614,9.250933519539515,9.251857297908323,1928.0812308413624,215.40363045928436
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,1,10.139884892277394,9.246696158080264,9.243668439700992,1922.094280316472,214.79537396121884
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,2,10.120016891399777,9.229673400098369,9.22705942709897,1911.6027710761111,214.16863825136616
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,3,10.126521221192627,9.235450255186668,9.23534265549084,1920.0709485879888,212.5375094902386
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,4,10.134761451283278,9.246485535439568,9.245822364545372,1920.051891888173,217.41678825995808
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,5,10.119938604676118,9.23140461751197,9.23105642886539,1914.3829217587995,212.36131455399064
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,6,10.1453588585229,9.252290047692028,9.250916114608286,1925.7544735037688,216.9248764654218
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,7,10.156257409998643,9.25583334484411,9.255537486453107,1935.4305971047663,217.72723824786328
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,8,10.141085158773972,9.248644066536023,9.24271105731365,1923.7139821866012,217.25004927322
variety,-1.0616022882675031,1.9926783254508516,17905.41379310345,9,10.157162950485665,9.261317316645174,9.26099594303268,1930.039028717454,217.19874364303868
slope,-1.1801926727806864,1.9926783254508516,7100.0,0,8.562992368236728,8.060917280633884,8.061946796094926,1260.6205252643588,72.29764391143911
slope,-1.1801926727806864,1.9926783254508516,7100.0,1,8.546377402968552,8.04660886172216,8.047417564952484,1252.3129363094097,71.91511698482624
slope,-1.1801926727806864,1.9926783254508516,7100.0,2,8.570148513620756,8.067014334005055,8.06918496801561,1260.4314468239463,73.61411470072626
slope,-1.1801926727806864,1.9926783254508516,7100.0,3,8.569654873341022,8.066752389824785,8.071104620976207,1261.9594254427343,73.25127299925205
slope,-1.1801926727806864,1.9926783254508516,7100.0,4,8.55307452743248,8.052228364780635,8.05110346591512,1257.6861576223705,72.27636564688537
slope,-1.1801926727806864,1.9926783254508516,7100.0,5,8.571550493566502,8.069784988615053,8.06589118254068,1259.6583942436562,73.48935006478892
slope,-1.1801926727806864,1.9926783254508516,7100.0,6,8.531009802402147,8.036202943950256,8.036723918446521,1243.0713786378274,72.8649120198265
slope,-1.1801926727806864,1.9926783254508516,7100.0,7,8.559038832740125,8.059613373518944,8.06039792647448,1256.0775832444065,72.49849000740193
slope,-1.1801926727806864,1.9926783254508516,7100.0,8,8.557148172138424,8.053622449482086,8.05067207765387,1259.9226656349786,71.94795078957033
slope,-1.1801926727806864,1.9926783254508516,7100.0,9,8.561355151015208,8.061393817503191,8.066748599117998,1257.082368235115,73.28789528279427
shift,-1.0616022882675031,5.678391737499265,7100.0,0,10.0899591343617,9.428390076378497,9.431159263216315,1777.3565081144984,298.66112845528454
shift,-1.0616022882675031,5.678391737499265,7100.0,1,10.099757491875684,9.439341036830264,9.442415727440595,1778.708654837037,307.0676396756807
shift,-1.0616022882675031,5.678391737499265,7100.0,2,10.087589630379656,9.424668212088376,9.422790919464912,1778.0163044973506,297.312451947395
shift,-1.0616022882675031,5.678391737499265,7100.0,3,10.10644920552321,9.44178704804925,9.43974474178117,1787.5234439094568,303.43211300309594
shift,-1.0616022882675031,5.678391737499265,7100.0,4,10.10167884445056,9.437681260858168,9.439047521382385,1782.61643891728,301.4129347738889
shift,-1.0616022882675031,5.678391737499265,7100.0,5,10.089188588766175,9.423604648856466,9.424251309037476,1781.246950944708,294.34251482251483
shift,-1.0616022882675031,5.678391737499265,7100.0,6,10.111642629669843,9.447755514712068,9.446371071169551,1785.587595062417,304.33018633540377
shift,-1.0616022882675031,5.678391737499265,7100.0,7,10.095588635410191,9.431785218402654,9.429107916346394,1783.8802798195736,295.6014837159935
shift,-1.0616022882675031,5.678391737499265,7100.0,8,10.091127547860443,9.429094123857974,9.427691005257218,1778.777625740207,298.7548073456236
shift,-1.0616022882675031,5.678391737499265,7100.0,9,10.102839434119126,9.440580847612804,9.443901227542876,1781.1455465600109,303.6904119002724
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,0,10.236186940438913,9.302994412894783,9.303749692293705,1967.751088422269,227.0073612135257
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,1,10.189987376686403,9.260856423005492,9.262469801830688,1950.8121774497424,216.24789403973512
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,2,10.221702048838935,9.28882971207072,9.28409305722754,1966.1967508054288,223.46498047752323
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,3,10.220769974175354,9.289381205922211,9.292728734676327,1956.1467638753757,225.3022580982236
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,4,10.222197197581377,9.289414145321809,9.287724894896954,1962.7137114048592,223.91332805860804
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,5,10.197767124737458,9.272035913525947,9.269322056936549,1951.927032034966,217.69029342273305
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,6,10.216070861497084,9.288691250213343,9.290141085830696,1957.2187568621084,226.0705074971165
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,7,10.237163095459731,9.304866770786184,9.305252456352267,1965.6044777291552,228.5487981330222
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,8,10.232926133921278,9.297703803194688,9.29723581315768,1966.8621686888584,228.57972844993756
variety,-1.0616022882675031,1.9926783254508516,20669.241379310344,9,10.22411838180026,9.288946788440564,9.282205296948016,1966.9698163285043,224.39403341513815
shift,-1.0616022882675031,0.4629072165874869,7100.0,0,8.886441465411043,8.305352805507168,8.306026255292592,1466.957200226271,79.72786053452721
shift,-1.0616022882675031,0.4629072165874869,7100.0,1,8.92004874145969,8.33696484245399,8.337514443671806,1479.4025419154952,82.6176013496415
shift,-1.0616022882675031,0.4629072165874869,7100.0,2,8.901410130419421,8.319149819456438,8.315479692355211,1473.7901183020845,80.98473749483259
shift,-1.0616022882675031,0.4629072165874869,7100.0,3,8.905493097496882,8.322129281898794,8.324397072298877,1472.001707367843,80.51963176773904
shift,-1.0616022882675031,0.4629072165874869,7100.0,4,8.891376502734996,8.311786745016772,8.310854562970366,1464.9240280787114,80.47637530813476
shift,-1.0616022882675031,0.4629072165874869,7100.0,5,8.912806658594533,8.330321966685716,8.335102653949878,1476.4127148029727,81.23045052515202
shift,-1.0616022882675031,0.4629072165874869,7100.0,6,8.90977878426796,8.326492641467759,8.325152084133732,1475.1580693481385,81.61178819444446
shift,-1.0616022882675031,0.4629072165874869,7100.0,7,8.907348943341105,8.32316601270328,8.322697646816833,1475.5464985747014,81.90637681159421
shift,-1.0616022882675031,0.4629072165874869,7100.0,8,8.898363279227006,8.317989564512159,8.319245037545606,1467.761838376761,80.6220979020979
shift,-1.0616022882675031,0.4629072165874869,7100.0,9,8.923228911728602,8.33801723657515,8.335107083852018,1480.038784853554,83.23890276008493
shift,-1.0616022882675031,5.895703592537256,7100.0,0,10.120802681488072,9.45677586769652,9.45790751829064,1790.3207741398498,308.6004662320436
shift,-1.0616022882675031,5.895703592537256,7100.0,1,10.119675962587298,9.452143806153838,9.45455440976465,1795.0428807975943,304.8221669258684
