type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,0,10.236186940438913,9.302994412894785,9.303749692293705,1967.751088422269,227.00736121352574
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,1,10.189987376686405,9.260856423005492,9.262469801830688,1950.8121774497426,216.24789403973512
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,2,10.221702048838935,9.288829712070719,9.284093057227539,1966.1967508054286,223.46498047752323
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,3,10.220769974175354,9.289381205922213,9.292728734676327,1956.1467638753754,225.3022580982236
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,4,10.222197197581377,9.289414145321807,9.287724894896954,1962.7137114048592,223.91332805860804
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,5,10.197767124737458,9.272035913525949,9.269322056936547,1951.927032034966,217.69029342273305
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,6,10.216070861497084,9.288691250213343,9.290141085830696,1957.2187568621084,226.0705074971165
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,7,10.237163095459731,9.304866770786184,9.305252456352267,1965.6044777291552,228.5487981330222
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,8,10.232926133921278,9.297703803194688,9.297235813157679,1966.8621686888584,228.57972844993753
variety,-1.0616022882675031,1.9926783254508513,20669.241379310344,9,10.22411838180026,9.288946788440565,9.282205296948016,1966.9698163285043,224.39403341513818
