type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
slope,-0.9670520192287129,1.9926783254508513,7100,0,10.248936557477183,9.533958746376246,9.534038861465525,1930.1080636367915,327.66433028268216
slope,-0.9670520192287129,1.9926783254508513,7100,1,10.243333163825273,9.53093070238674,9.530658762996577,1924.5812793379857,323.84849997704316
slope,-0.9670520192287129,1.9926783254508513,7100,2,10.245228050953113,9.534134098823197,9.535792608779031,1925.975116895613,327.8433753537432
slope,-0.9670520192287129,1.9926783254508513,7100,3,10.239211067739646,9.52826219370928,9.531592139019757,1922.496530812113,324.47507450331125
slope,-0.9670520192287129,1.9926783254508513,7100,4,10.252856751916998,9.538832916752597,9.538435030091852,1929.8963916105824,323.055881383855
slope,-0.9670520192287129,1.9926783254508513,7100,5,10.26135199840558,9.547812147140155,9.545942171720682,1932.1792977916089,329.30925467763507
slope,-0.9670520192287129,1.9926783254508513,7100,6,10.235515434720721,9.52648171406801,9.52477005365589,1920.29153588738,326.7101576344086
slope,-0.9670520192287129,1.9926783254508513,7100,7,10.248826982422903,9.537054287334703,9.536201157945941,1927.5364817102038,329.4966731480735
slope,-0.9670520192287129,1.9926783254508513,7100,8,10.228130394370796,9.519829694259693,9.521568146731584,1915.8196811136725,325.0613606043854
slope,-0.9670520192287129,1.9926783254508513,7100,9,10.23815258098368,9.527665768579366,9.526630448212947,1921.6031937757627,326.07119441083046
