slope,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
-1.5,50,0.84,0,4.282414006157545,3.225130927059655,3.2344723975181444,18.44603720083468,10.063242698892244
-1.5,100,0.78,0,4.282414006157545,3.5080816681932157,3.516279677362257,29.388182083822645,10.38924636174636
-1.5,500,0.72,0,4.282414006157545,3.9596774177699046,3.9758189621073274,85.31078234695067,10.735435016111708
-1.5,1000,0.66,0,4.282414006157545,4.083996271230423,4.100549724679065,133.82336089654262,11.771692186886533
-1.5,2000,0.6,0,4.282414006157545,4.1842385655068615,4.195219383589148,208.73946510270028,13.694520547945206
-1.5,50,0.84,1,4.222482712829731,3.207621506280563,3.209418050815809,18.1793746381137,10.082959973091151
-1.5,100,0.78,1,4.222482712829731,3.4764930234846334,3.479986174052719,28.70834789782436,10.379120803046035
-1.5,500,0.72,1,4.222482712829731,3.9090109511084763,3.9152986300637216,81.99784603093048,10.716884601643443
-1.5,1000,0.66,1,4.222482712829731,4.030790526352159,4.03606648967504,129.1223224279166,11.602668213457077
-1.5,2000,0.6,1,4.222482712829731,4.127872452425161,4.1103150145071305,202.80766873491024,13.561427280939476
-1.5,50,0.84,2,4.192648011224241,3.1923509722635273,3.1976892007534214,17.95817137645142,10.082906155398588
-1.5,100,0.78,2,4.192648011224241,3.4624653553422027,3.465994765899342,28.47381380374962,10.334493278179938
-1.5,500,0.72,2,4.192648011224241,3.8851550639749632,3.8974963702864156,81.65677906884764,10.608900212314223
-1.5,1000,0.66,2,4.192648011224241,4.0061186277655,4.0256802450740246,127.38480777585538,11.38477600607441
-1.5,2000,0.6,2,4.192648011224241,4.101790816170979,4.1079723253479665,197.275131529573,13.238940397350992
-1.5,50,0.84,3,4.1974417132380335,3.1767813875551854,3.1761958743547045,18.027493780567386,10.071572580645162
-1.5,100,0.78,3,4.1974417132380335,3.4453221009510093,3.4518312321936038,28.69955706184063,10.313725490196079
-1.5,500,0.72,3,4.1974417132380335,3.877534554284168,3.87714233713529,82.9919395118443,10.613913043478261
-1.5,1000,0.66,3,4.1974417132380335,3.9994597421915814,3.9924011485668767,130.81171334702555,11.490218642117377
-1.5,2000,0.6,3,4.1974417132380335,4.100754321240019,4.087066982229481,206.03372099287904,13.238763796909492
-1.5,50,0.84,4,4.233853642913422,3.1992607658364043,3.1886164866107007,18.349573993359584,10.056592890677399
-1.5,100,0.78,4,4.233853642913422,3.468978680465231,3.4718195217742807,29.309979527242067,10.28448559670782
-1.5,500,0.72,4,4.233853642913422,3.9161824296184493,3.9076698502997522,84.86747577527376,10.506302521008404
-1.5,1000,0.66,4,4.233853642913422,4.037243606161238,4.030274697212316,132.54233263209997,11.476055045871558
-1.5,2000,0.6,4,4.233853642913422,4.137019537113874,4.127285504695794,205.6769940114594,13.16600790513834
-1.5,50,0.84,5,4.220580417987895,3.203703306994344,3.2125415950426706,18.206699641824258,10.103053589484327
-1.5,100,0.78,5,4.220580417987895,3.476382968588876,3.477851880066244,28.79175085034695,10.375954356846472
-1.5,500,0.72,5,4.220580417987895,3.909203773786248,3.9094917148726225,82.31695559936867,10.671291355389542
-1.5,1000,0.66,5,4.220580417987895,4.031331645580732,4.040274009554247,128.99460829162066,11.638160651920838
-1.5,2000,0.6,5,4.220580417987895,4.1258825399649774,4.128935657379704,200.70469758604682,13.505405405405405
-1.5,50,0.84,6,4.134516719430609,3.1394803249931837,3.146910179188661,17.773768067705618,10.093131313131314
-1.5,100,0.78,6,4.134516719430609,3.4048542473800185,3.4112553867102036,28.265398414978897,10.314337805297559
-1.5,500,0.72,6,4.134516719430609,3.830632379721195,3.8306618094830096,81.42569696658401,10.466596858638743
-1.5,1000,0.66,6,4.134516719430609,3.9541017697766487,3.953877884410395,127.08666842789603,11.449980908743797
-1.5,2000,0.6,6,4.134516719430609,4.045979240972982,4.041098975335559,196.57770674140363,13.070588235294117
-1.5,50,0.84,7,4.332844605619889,3.2816730441993016,3.2813878700193118,18.763710777427736,10.096525252525252
-1.5,100,0.78,7,4.332844605619889,3.5581034734856427,3.564873182365983,29.8886298544091,10.428362877997914
-1.5,500,0.72,7,4.332844605619889,4.009706114682603,3.983168239804714,86.1925472248866,10.76426264800861
-1.5,1000,0.66,7,4.332844605619889,4.13650655025137,4.106637973827511,134.18614747647152,11.89390249702735
-1.5,2000,0.6,7,4.332844605619889,4.237339198905969,4.2340052273552935,207.6932725299709,14.008950246765373
-1.5,50,0.84,8,4.14265494806919,3.1276570089520552,3.1370246983722296,17.793195501570157,10.036626506024096
-1.5,100,0.78,8,4.14265494806919,3.4023636942448685,3.40136272184099,28.243465009360527,10.289948559670782
-1.5,500,0.72,8,4.14265494806919,3.829098066922223,3.8323720210558374,81.35678537279944,10.561077085533263
-1.5,1000,0.66,8,4.14265494806919,3.95208068802574,3.959081592219203,127.99052721706018,11.526874279123414
-1.5,2000,0.6,8,4.14265494806919,4.048383335095085,4.067855917587283,200.67888110073082,13.165438596491228
-1.5,50,0.84,9,4.2737376492425945,3.233011497906409,3.230529761159434,18.39064271092313,10.0476783919598
-1.5,100,0.78,9,4.2737376492425945,3.506267103859378,3.5100373215483183,29.125850185032714,10.329028925619834
-1.5,500,0.72,9,4.2737376492425945,3.9443424127969298,3.9400984866818374,83.6606949593631,10.612073602264685
-1.5,1000,0.66,9,4.2737376492425945,4.0673726165497435,4.055168965636895,132.494916386331,11.548017705927636
-1.5,2000,0.6,9,4.2737376492425945,4.1706997221572895,4.138628964744268,211.1489851329372,13.571126187245591
