slope,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
-1.17,50,0.84,0,8.48406255247301,5.21681010282938,5.263427907514333,41.86735527361257,43.40706896551724
-1.17,100,0.78,0,8.48406255247301,6.007787103470343,6.007312595335022,75.03913030982348,73.24598175182481
-1.17,500,0.72,0,8.48406255247301,7.347899640285386,7.3333841052054165,263.99579562633306,114.91393103448277
-1.17,1000,0.66,0,8.48406255247301,7.77545711903405,7.753245169191934,439.21857009789477,180.42633586626138
-1.17,2000,0.6,0,8.48406255247301,8.130168616288481,8.078224885405923,716.874792001395,279.30312456866807
-1.17,50,0.84,1,8.476105957294804,5.166771002812073,5.259295149825393,41.77498875563749,42.871760683760684
-1.17,100,0.78,1,8.476105957294804,5.912758781265159,5.999056312988959,74.94602437550778,71.48236406619385
-1.17,500,0.72,1,8.476105957294804,7.365805378007683,7.334254229056511,265.369489629437,115.77900383141761
-1.17,1000,0.66,1,8.476105957294804,7.7765601687804065,7.75938194400109,441.29102445045754,179.22234623015873
-1.17,2000,0.6,1,8.476105957294804,8.163494433687628,8.098751563087784,715.609086844669,280.284730888524
-1.17,50,0.84,2,8.41905575052563,5.225790552820728,5.26956577515396,41.5881926797699,43.393593073593074
-1.17,100,0.78,2,8.41905575052563,5.930077927684142,5.999082271163157,74.43710812036677,70.54971635367762
-1.17,500,0.72,2,8.41905575052563,7.338987702097361,7.308544244265981,260.4296820560338,115.21072796934867
-1.17,1000,0.66,2,8.41905575052563,7.735875995236301,7.71672673739295,431.0724874413047,177.00077730210697
-1.17,2000,0.6,2,8.41905575052563,8.06371681096113,8.051665586584164,699.8387849615602,265.77358851674643
-1.17,50,0.84,3,8.429886918942767,5.269990283760946,5.256887136043084,41.60159844790213,42.84748717948719
-1.17,100,0.78,3,8.429886918942767,6.012486878524195,5.986714392573602,74.47743506542169,71.00635258358663
-1.17,500,0.72,3,8.429886918942767,7.2835908392707935,7.3199087568977745,261.3943932200263,115.30206896551725
-1.17,1000,0.66,3,8.429886918942767,7.741120716907334,7.741811421680077,434.0634426455543,180.55032967032963
-1.17,2000,0.6,3,8.429886918942767,8.097030201078175,8.076252960438946,705.3893420866594,271.1937409499261
-1.17,50,0.84,4,8.416202533166034,5.213261227807745,5.233490012297249,41.36542785052007,39.7091746031746
-1.17,100,0.78,4,8.416202533166034,5.9791811656527285,5.971402327537082,73.95601485837653,71.49128571428572
-1.17,500,0.72,4,8.416202533166034,7.313470899750788,7.323097946680619,261.4476607147881,113.10826262626263
