group,length,variety,sample_entropy,m_subsample_entropy_rdm,sd_subsample_entropy_rdm,m_subsample_entropy_mav,sd_subsample_entropy_mav,exp_variety,MTLD,zipf_intercept,zipf_slope,zipf_shift
legal,110169.4,4663.6,8.504887461318718,8.098608493724983,0.0019154695901945798,7.705935358700977,0.03479337091957357,1139.3461742370614,46.35985370389368,13.71211666497845,-1.6532180505549188,70.75
literature,105600.0,8461.4,9.214657296342706,8.640006361652102,0.00157122621452993,8.490666420391396,0.013721009113746092,1391.236205978957,95.15249221838644,10.993328131942468,-1.283709782426002,13.4
poetry,78020.7,8175.1,9.7902532339835,9.12548952700761,0.00216314927255888,8.997369737230066,0.01944259272316483,1726.7890850002896,131.87403357086458,9.798772379446742,-1.1240152002800685,8.7
